NOA_PP_LAT_5_ID|JUR|PARID|ALTID|TAXYR|OWNERNAME|ADDR1|ADDR2|CITYNAME|STATECODE|ZIP1|PIN|CONTACT_NAME|CONTACT_PHONE|CONTACT_FAX|CONTACT_EMAIL|PROPERTY_ADDRESS|TAXPAYER_NAME|TAXPAYER_PREPARED_DATE|TAX_PREPARER_NAME|TAX_PREPARER_PHONE|TAX_PREPARER_EMAIL|TAX_PREPARER_PREPARED_DATE|FORM_ID
11|3|1801-ELYSIANFIELDSAVP|38P106001P|2014|"TURNER & SON TUNE-UP SERVICE"|"12913 IRONGATE AVE"||AUSTIN|TX|78727|123456|"Ron Jones"|5013423323||jones@jones.com|"1801  ELYSIAN FIELDS AV "|||||||11
12|3|1782-NDORGENOISSTP|37P111902P|2014|"MANCHU KITCHEN"|"14251 SAIGON DR"||"NEW ORLEANS"|LA|70129|123456|"AARON GIRTLEY"|5043433769||agirtley@yahoo.com|"1782 N DORGENOIS ST "|aaron||aaron|5045555555|agirtley@me.com|2013-02-13|12
13|3|1776-BENEFITST3P|37P205320P|2014|"VZW PERSONAL COMMUNICATIONS LLC"|"P.O. BOX 260968"||PLANO|TX|75026|123456|"MICHELLE RICHTER"|9724755555||a@yahoo.com|"1776  BENEFIT ST 3"|||"AARON G "|5046581382|A@YAHOO.COM|2013-02-13|13
14|3|1776-BENEFITSTP|37P119105P|2014|"PINNACLE TOWERS| INC."|"PMB 353"|"4017 WASHINGTON ROAD"|MCMURRAY|PA|15317|123456|"CARMEN LOPEZ 866-866-4186"|8668664186||lopex@com.com|"1776  BENEFIT ST "|||||||14
15|3|1775-STCLAUDEAVP|37P102605P|2014|"VU NHO DBA"|"#1 NAIL SPA"|"1775 ST. CLAUDE AVE."|"NEW ORLEANS"|LA|70116|123456|||||"1775  ST CLAUDE AV "|||||||15
16|3|13300-HAYNEBLP|39P016645P|2014|"THE MAX & MO SALON"|"13300 HAYNE BLVD"||"NEW ORLEANS"|LA|70128|123456|"MICHEAL BRYANT"|5044162412|5043904544|x@yahoo.com|"13300  HAYNE BL "|||||||16
17|3|1751-GENTILLYBDDP|37P122108P|2014|"HODGES PHOTOGRAPHY"|"204 PASSAIS STREET"|"SUITE 101"|FOLSOM|LA|70437|123456|"JUN BAUSA"|5046581346|5046581351|JBAUSA@YAHOO.COM|"1751  GENTILLY BD D"|||||||17
18|3|1751-GENTILLYBDEP|37P122110P|2014|"KENTUCKY EQUINE MEDICAL ASSOCIATES LLC"|"1214 DURRETT LANE"|"UNIT A"|LOUISVILLE|KY|40213|123456|"KEVIN DUNLAVY"|5025483623|5046587651|RAMURRAY@ORLEANSASSESSORS.COM|"1751  GENTILLY BD E"|||||||18
19|3|1751-GENTILLYBDAP|37P122101P|2014|"CHURCHHILL DOWNS LOUISIANA"|"P.O. BOX 52529"||"NEW ORLEANS"|LA|70130|123456|"CARGY LOSHBAUGH"|5049481052|5046581111|jbausa@yahoo.com|"1751  GENTILLY BD A"|||||||19
20|3|1751-GENTILLYBDBP|37P122105P|2014|"AT&T MOBILITY LLC"|"909 CHESTNUT STREET"|"ROOM 36-M-01"|"SAINT LOUIS"|MO|63101|123456|"BRIAN MARLER"|8005968366|5045551313|robert@speedbumpit.com|"1751  GENTILLY BD B"|||||||20
21|3|1751-GENTILLYBDCP|37P122107P|2014|"MULTIMEDIA GAMES INC"|"206 WILD BASIN ROAD"|"BLDG B"|AUSTIN|TX|78746|123456|"GRETCHEN STOUT"|5124393077||ramurray@orleansassessors.com|"1751  GENTILLY BD C"|||||||21
22|3|1743-NBROADSTBP|37P114308P|2014|"ESPE'S KITCHEN"|"1743 N BROAD ST"|"test line 2"|"NEW ORLEANS"|LA|70119|123456|"OWNER RONALD M"|5046587651|5046581353|ronaldmur73@yahoo.com|"1743 N BROAD ST B"|||"Ronald Murray"|5046587651|RAMURRAY@ORLEANSASSESSORS.COM|2013-02-13|22
23|3|1741-POLANDAVP|39P118301P|2014|"POLAND SCRAP METALS"|"1741 POLAND AVE"||"NEW ORLEANS"|LA|70117|123456|"TEST OWNER/CONTACT NAME"|5046587651|5046581353|RAMURRAY@ORLEANSASSESSORS.COM|"1741  POLAND AV "|"RONALD MURRAY"||"RONALD MURRAY"|5046587651|RAMURRAY@ORLEANSASSESSORS.COM|2013-02-13|23
24|3|1741-MCSHANEPLALLTELP|37P205441P|2014|"ALLTEL COMMUNICATIONS LLC"|"P O BOX 260968"||PLANO|TX|75026|123456|"MICHELLE RICHTER"|9724755555||robert@speedbumpit.com|"1741  MC SHANE PL ALLTEL"|||"John Preparer"|5041235689|robert@speedbumpit.com|2013-02-15|24
25|3|1741-MCSHANEPLP|37P013202P|2014|"QUEEN FOOD STORE"|"1741 MC SHANE PLACE"||"NEW ORLEANS"|LA|70116|123456|"Beverly Jones"|5045553636||joe@speedbumpit.com|"1741  MC SHANE PL "|||"Theo Preparer"|5045551313|robert@speedbumpit.com|2013-02-14|25
26|3|1736-MCSHANEPLP|37P102503P|2014|"ECONOMICAL DRY CLEANERS"|"1736 MC SHANE PL"||"NEW ORLEANS"|LA|70116|123456|||||"1736  MC SHANE PL 70116"|||||||26
27|3|4332-LONELYOAKSDRP|39P016499P|2014|"JUST THE PERFECT PLACE"|"C/O VIRGINIA FAVAROTH"|"2812 BUTTERFIELD STAGE RD"|LEWISVILLE|TX|75077|123456|"VIRGINIA G. FAVAROTH-504-914-8368"|5049148368|5042436711||"4332  LONELY OAKS DR "|||||||27
28|3|1732-BENEFITSTP|37P119102P|2014|"KINGSMILL'S AUTO SERVICE INC"|"1732 BENEFIT ST"||"NEW ORLEANS"|LA|70122|123456||5049498667|5049498670||"1732  BENEFIT ST "|||||||28
29|3|1731-ESPLANADEAVP|37P105915P|2014|"FIVE CONTINENTS B & B"|"1731 ESPLANADE AVE"||"NEW ORLEANS"|LA|70116|123456|"PETER NEUSSER"|5049820411|||"1731  ESPLANADE AV "|||||||29
30|3|1731-NRAMPARTSTP|37P101502P|2014|"HEAVEN ON EARTH"|"821 BARRACKS STREET"||"NEW ORLEANS"|LA|70116|123456|"KENETHA HARRINGTON"|5049744743|||"1731 N RAMPART ST "|||||||30
31|3|1724-NRAMPARTSTP|37P101501P|2014|"QUALITY USED CARS"|"1724 N RAMPART ST"||"NEW ORLEANS"|LA|70116|123456|||||"1724 N RAMPART ST "|||||||31
32|3|11621-GENTILLYRDBP|39P016479P|2014|MOGILLES|"11621 GENTILLY ROAD"|"UNIT B"|"NEW ORLEANS"|LA|70129|123456|||||"11621  GENTILLY RD B"|||||||32
33|3|1709-NGALVEZSTP|37P013182P|2014|"CHECKER'S DRIVE-IN RESTAURANTS"|"4300 W CYPRESS STREET"|"SUITE 600"|TAMPA|FL|33607|123456|"SCOTT GUENTHER"|8132815992|||"1709 N GALVEZ ST "|||||||33
34|3|1701-STBERNARDAVP|37P013223P|2014|"CELEBRATION HALL"|"1701 ST BERNARD AVE"||"NEW ORLEANS"|LA|70116|123456|"GEORGE STEMLEY"|5043901380|5044884084||"1701  ST BERNARD AV "|||||||34
35|3|1701-NRAMPARTSTP|37P013214P|2014|"BEAUTY HOUSE"|"1701 NORTH RAMPART STREET"||"NEW ORLEANS"|LA|70116|123456|504-944-0331||||"1701 N RAMPART ST "|||||||35
36|3|1701-STANTHONYSTP|37P013116P|2014|"ST ANTHONY EXPRESS"|"1701 ST ANTHONY STREET"||"NEW ORLEANS"|LA|70116|123456||5049460393|||"1701  ST ANTHONY ST "|||||||36
37|3|1701-NGALVEZSTP|37P013181P|2014|"AUTHENTIC CAR WASH"|"1701 N GALVEZ ST"||"NEW ORLEANS"|LA|70119|123456|"WILLIE SMITH"|5047018654|||"1701 N GALVEZ ST "|||||||37
38|3|12170-GENTILLYRD208P|39P016480P|2014|"FREDERICK TRUCKING"|"12170 GENTILLY ROAD"|"UNIT 208"|"NEW ORLEANS"|LA|70129|123456||2814715033|2818679688||"12170  GENTILLY RD 208"|||||||38
39|3|1701-NBROADSTP|37P013037P|2014|"AVENUE BARBER SHOP"|"1701 N BROAD STREET"||"NEW ORLEANS"|LA|70119|123456|||||"1701 N BROAD ST "|||||||39
40|3|2000-LAKESHOREDRHP|37P123910P|2014|"EDUCATIONAL TESTING SERVICE"|"ROSEDALE ROAD"|"MAIL STOP 56D"|PRINCETON|NJ|85415|123456|"SYLVIA MCRAE"|6093411170||rgsnelling@gmail.com|"2000  LAKESHORE DR H"|||"John Preparer"|5045556655|robert@speedbumpit.com|2013-02-14|40
41|3|1700-PORTSTP|39P015943P|2014|"B & L RESTAURANT & LOUNGE"|"C/O BILLY BLANKS"|"1700 PORT ST"|"NEW ORLEANS"|LA|70117|123456|"BILLY BLANKS"|5049484788||jxxx@yahoo.com|"1700  PORT ST "|junbausa||junbausa|5046665588|robert@speedbumpit.com|2013-02-14|41
42|3|1700-NGALVEZSTP|37P013180P|2014|"FUSIONS NIGHT CLUB"|"1700 NORTH GALVEZ STREET"||"NEW ORLEANS"|LA|70119|123456|"Jim Smith"|5045551112|5045551313|smith@club.com|"1700 N GALVEZ ST "|||||||42
43|3|1700-NRAMPARTSTP|37P013213P|2014|"RAMPART FOOD STORE"|"1700 NORTH RAMPART STREET"||"NEW ORLEANS"|LA|70116|123456|jbb|5046581212|5046581351|jb@yahoo.com|"1700 N RAMPART ST "|jb||jb|5045511222|jb@yahoo.com|2013-02-06|43
44|3|1700-MCSHANEPLP|37P102501P|2014|"DRY CLEANERS"|"3400 DESIRE ST"||"NEW ORLEANS"|LA|70116|123456|||||"1700  MC SHANE PL "|||||||44
45|3|1688-GENTILLYBDP|37P013122P|2014|"A BEAUTIFUL YOU HAIR SALON"|"1688 GENTILLY BLVD"||"NEW ORLEANS"|LA|70119|123456|||||"1688  GENTILLY BD "|||||||45
46|3|1683-NBROADSTP|37P013032P|2014|"JOE BLAKK TAX SERVICE"|"1683 N BROAD STREET"|"SUITE 101"|"NEW ORLEANS"|LA|70119|123456|"JUN BAUSA"|5046581351|5046581651|JB@YAHOO.COM|"1683 N BROAD ST "|||"jun bausa"|5046581351|jb@yahoo.com|2013-02-13|46
47|3|1678-NBROADSTP|37P013029P|2014|"WILCOX'S ACADEMY OF EARLY LEARNING"|"1678 N BROAD ST"||"NEW ORLEANS"|LA|70119|123456|"Jim Tester"|5045556655|5045551212|robert@speedbumpit.com|"1678 N BROAD ST "|||||||47
48|3|1661-NCLAIBORNEAVP|37P105605P|2014|"JIM THORNS INC REAL ESTATE"|"1661 N CLAIBORNE AVE"||"NEW ORLEANS"|LA|70116|123456|"Test Owner"|5042886671||one@three.com|"1661 N CLAIBORNE AV "|||||||48
49|3|1654H-NJOHNSONSTP|37P108301P|2014|"DELORES BEAUTY SALON"|"1654 HF N JOHNSON ST"||"NEW ORLEANS"|LA|70116|123456|jun|5046581351|6506581351|xxx@yahoo.com|"1654 N JOHNSON ST "|||||||49
50|3|1648-GENTILLYBD1P|37P205566P|2014|"BROOKS LAND HOLDING LLC"|"1648 GENTILLY BLVD"||"NEW ORLEANS"|LA|70119|123456|"juan cousin"|5046581351|5046581351|xxs@yahoo.com|"1648  GENTILLY BD 1"|xxx||xxx|5046581311|xxx@yahoo.com|2013-01-31|50
51|3|1648-GENTILLYBDP|37P013120P|2014|"BROOKS SEAHORSE SALON| LLC"|"1648 GENTILLY BD"||"NEW ORLEANS"|LA|70119|123456|"SUSAN BROOKS"|5044272966|||"1648  GENTILLY BD "|||||||51
52|3|1647-GENTILLYBDP|37P116408P|2014|"MUBARAK| HAFEZ-ASSAD & ASSOCIATE"|"1739 ST BERNARD AV"||"NEW ORLEANS"|LA|70116|123456|||||"1647  GENTILLY BD "|||||||52
53|3|1641-FRENCHMENSTP|37P013165P|2014|"F & D MEAT MART"|"1641 FRENCHMEN STREET"||"NEW ORLEANS"|LA|70116|123456|||||"1641  FRENCHMEN ST "|||||||53
54|3|12301-GENTILLYRDBP|39P016540P|2014|"J M ORTEGO INC"|"12301 GENTILLY ROAD"|"UNIT B"|"NEW ORLEANS"|LA|70129|123456|"JAMES  M. ORTEGO"|5042487420|5042487460||"12301  GENTILLY RD B"|||||||54
55|3|12301-GENTILLYRDAP|39P016481P|2014|"INTERMODAL SERVICES INC"|"12301 GENTILLY ROAD"|"UNIT A"|"NEW ORLEANS"|LA|70129|123456|"DAVID LARSON"|5042431991|5042436665|DAVEELARSEN@INTERMODAL.COM|"12301  GENTILLY RD A"|||||||55
56|3|1639-GENTILLYBDP|37P116405P|2014|"W B O K INC"|"1639 GENTILLY BD"||"NEW ORLEANS"|LA|70119|123456|||||"1639  GENTILLY BD "|||||||56
57|3|16362-CHEFMENTEURHWP|39P016316P|2014|"TRUCKING COMPANY"|"16362 CHEF MENTEUR HW"||"NEW ORLEANS"|LA|70129|123456|||||"16362  CHEF MENTEUR HW "|||||||57
58|3|1636-FLORIDAAVP|37P118936P|2014|"HEBLER ENTERPRISES"|"1636 FLORIDA AVENUE"||"NEW ORLEANS"|LA|70117|123456|||||"1636  FLORIDA AV "|||||||58
59|3|1636-STROCHAVP|38P100240P|2014|"CESAR'S COLLISION EXPERTS"|"1636 ST ROCH AV"||"NEW ORLEANS"|LA|70117|123456|"DANIELLE FIGUEREDO"|5045813889||rgsnelling@gmail.com|"1636  ST ROCH AV "|"Jim Smith"||"Tim Jones"|5049888888|robert@speedbumpit.com|2013-02-01|59
60|3|1633-FRANKLINAVP|39P117705P|2014|"FELIX COIFFURES BEAUTY SALON"|"1633 FRANKLIN AVE"||"NEW ORLEANS"|LA|70117|123456|||||"1633  FRANKLIN AV "|||||||60
61|3|1631-ELYSIANFIELDSAVP|38P105631P|2014|"SPEARS & SPEARS ATTORNEYS AT LAW"|"1631 ELYSIAN FIELDS AVE"||"NEW ORLEANS"|LA|70117|123456|||||"1631  ELYSIAN FIELDS AV "|||||||61
62|3|1631-ELYSIANFIELDSAV1P|38P207453P|2014|"EXCLUSIVE TEMPORARIES INC."|"1631 ELYSIAN FIELDS AVENUE"||"NEW ORLEANS"|LA|70117|123456|"MAURICE ROBICHAUX"|5045225665|5045243248||"1631  ELYSIAN FIELDS AV 1"|||||||62
63|3|1631-ELYSIANFIELDSAVBP|38P100213P|2014|"UPS STORE"|"1631 ELYSIAN FIELDS AVENUE"||"NEW ORLEANS"|LA|70117|123456|||||"1631  ELYSIAN FIELDS AV B"|||||||63
64|3|1630-FRANKLINAVP|38P104705P|2014|"CHINESE INN"|"1630 FRANKLIN AVE"||"NEW ORLEANS"|LA|70117|123456|||||"1630  FRANKLIN AV "|||||||64
65|3|1629-GENTILLYBDP|37P116404P|2014|"B & C"|"1629 GENTILLY BLVD"||"NEW ORLEANS"|LA|70119|123456|"BRYANT WININGER"||||"1629  GENTILLY BD "|||||||65
66|3|1624-FRANKLINAVP|38P100354P|2014|"URBAN EXPRESS I"|"1624 FRANKLIN AV"||"NEW ORLEANS"|LA|70117|123456|||||"1624  FRANKLIN AV "|||||||66
67|3|1620-ELYSIANFIELDSAVP|37P106223P|2014|"PROFESSIONAL FUNERAL SERVICE"|"1620 ELYSIAN FIELDS AVE"||"NEW ORLEANS"|LA|70117|123456|||||"1620  ELYSIAN FIELDS AV "|||||||67
68|3|1620-FRANKLINAV0000001P|38P104703P|2014|"LA DIVA"|"1620 FRANKLIN AVENUE"||"NEW ORLEANS"|LA|70117|123456|"Y BROTHERS LLC"||||"1620  FRANKLIN AV 0000001"|||||||68
69|3|1615-GENTILLYBDP|37P116403P|2014|"FEINDEL & MACKE| INC."|"172 COMMERCE ST."||GRETNA|LA|70056|123456|"KEITH MACKE"|5049472113||KMACKE172@AOL.COM|"1615  GENTILLY BD "|||||||69
70|3|1612-NVILLERESTP|37P104002P|2014|"CURTIS AUTO REPAIR SERVICE"|"1612 N VILLERE ST"||"NEW ORLEANS"|LA|70116|123456|||||"1612 N VILLERE ST "|||||||70
71|3|1610-ELYSIANFIELDSAVP|37P106210P|2014|"CHEVRON PRODUCTS COMPANY"|"PO BOX 285"||HOUSTON|TX|77001|123456|||||"1610  ELYSIAN FIELDS AV "|||||||71
72|3|1610-ELYSIANFIELDSAVAP|37P106211P|2014|"EL JAOUHARI LLC"|"1122 DECATUR"||"NEW ORLEANS"|LA|70116|123456|"FOUAD EL JAOUHARI 504-523-9373"||||"1610  ELYSIAN FIELDS AV A"|||||||72
73|3|10040-I10SERVICERDEP|39P016649P|2014|"ANNOINTED HANDS BEAUTY SALON"|"10040 I-10 SERVICE ROAD"|"SUITE E"|"NEW ORLEANS"|LA|70127|123456|||||"10040  I 10 SERVICE RD E"|||||||73
74|3|2000-LAKESHOREDRCP|39P016494P|2014|"SUBWAY AT UNO"|"2000 LAKESHORE DRIVE"|"SUITE C"|"NEW ORLEANS"|LA|70122|123456|||||"2000  LAKESHORE DR C"|||||||74
75|3|10040-I10SERVICERDDP|39P016648P|2014|"DIVA'S HAIR BOX"|"10040 I-10 SERVICE RD"|"SUITE D"|"NEW ORLEANS"|LA|70127|123456|"Jim Tester"|5045551212|5045551213|robert@speedbumpit.com|"10040  I 10 SERVICE RD D"|||||||75
76|3|1605-ESPLANADEAV1P|37P205486P|2014|"THE VIBE"|"1605 ESPLANADE AVENUE"||"NEW ORLEANS"|LA|70116|123456|||||"1605  ESPLANADE AV 1"|||||||76
77|3|1601-ELYSIANFIELDSAVP|38P100211P|2014|"MAGNOLIA DISCOUNT STORE/SHELL GAS"|"1601 ELYSIAN FIELDS AVENUE"||"NEW ORLEANS"|LA|70117|123456|||||"1601  ELYSIAN FIELDS AV "|||||||77
78|3|1601-FRANKLINAV1P|39P117710P|2014|"SUBWAY #42515"|"1601 FRANKLIN AVENUE"||"NEW ORLEANS"|LA|70117|123456|"MANOJ P. PATEL"|5043094745|||"1601  FRANKLIN AV 1"|||||||78
79|3|1600-STBERNARDAVP|37P013222P|2014|"LAYLA LLC"|"1600 ST BERNARD AVENUE"||"NEW ORLEANS"|LA|70116|123456|||||"1600  ST BERNARD AV "|||||||79
80|3|1600-ROBERTELEEBDP|37P123401P|2014|"SALJER LLC"|"1600 ROBERT E LEE BLVD"||"NEW ORLEANS"|LA|70122|123456|"KYLE SCLAFANI"|5048754079|5049104324|four@five.com|"1600  ROBERT E LEE BL "|||||||80
81|3|15990-CHEFMENTEURHW1P|39P301490P|2014|"CRESCENT SHIPPERS OF LA INC"|"15990 CHEF MENTEUR HWY"||"NEW ORLEANS"|LA|70129|123456|||||"15990  CHEF MENTEUR HW 1"|||||||81
82|3|231-HARBORCRP|39P016544P|2014|"COAXUM ENTERPRISE INC"|"231 HARBOR CIRCLE COURT"||"NEW ORLEANS"|LA|70126|123456|"HENRY COAXUM"|5042416942|5042416946||"231  HARBOR CIR "|||||||82
83|3|1565-CATONSTP|37P120834P|2014|"WELLNESS TOOL GROUP INC"|"C/O Z. RAMSEY & H. BATISTE"|"1565 CATON STREET"|"NEW ORLEANS"|LA|70122|123456|||||"1565  CATON ST "|||||||83
84|3|1562-NBROADSTP|37P117306P|2014|"HONORE' DENTAL CENTER"|"c/o CATHY G HONORE'"|"1562 N BROAD ST"|"NEW ORLEANS"|LA|70119|123456||5049445200|5049445253|CGHONORE@YAHOO.COM|"1562 N BROAD ST "|||||||84
85|3|1558-NBROADSTP|37P205371P|2014|"N 2 HAIR LLC"|"1558 N BROAD STREET"||"NEW ORLEANS"|LA|70119|123456|"DARRILYN RIBET"|5048643235||DRIBET86@YAHOO.COM|"1558 N BROAD ST "|||||||85
86|3|15551-INTRACOASTALDRP|39P301861P|2014|"DUFOUR PETROLEUM| INC."|"c/o KE ANDREWS & COMPANY"|"P O BOX 870849"|MESQUITE|TX|75187|123456|"MIKE FRY"|4692981618|||"15551  INTRACOASTAL DR "|||||||86
87|3|1554-NBROADSTP|37P205335P|2014|"CATRICE JOHNSON-REID ATTY AT LAW"|"1554 N BROAD ST"||"NEW ORLEANS"|LA|70119|123456||5049448581|||"1554 N BROAD ST "|||||||87
88|3|1555-ABUNDANCESTP|37P205430P|2014|"G-MAN CONSTRUCTION"|"6308 BACCICH STREET"||"NEW ORLEANS"|LA|70122|123456||5049754626|||"1555  ABUNDANCE ST "|||||||88
89|3|1554-MIRABEAUAVP|37P013076P|2014|"GREAT WOK CHINESE FOOD"|"JIN ZHU CHEN"|"1554 MIRABEAU AVENUE"|"NEW ORLEANS"|LA|70122|123456|"JIN ZHU CHEN 504-283-2355"|5042832355|||"1554  MIRABEAU AV "|||||||89
90|3|1553-NBROADSTAP|37P103133P|2014|"A M ANGELS"|"MARY JACK/ANGELENA JONES"|"4848 BONITA DRIVE"|"NEW ORLEANS"|LA|70126|123456|||||"1553 N BROAD ST A"|||||||90
91|3|5700-HAYNEBLP|39P016546P|2014|"WENDEL PRINTING"|"5700 HAYNE BL"||"NEW ORLEANS"|LA|70126|123456||5044911757|5042467455|WENDEL@WENDELPRINTING.COM|"5700  HAYNE BL "|||||||91
92|3|1544-FLORIDAAVP|37P119201P|2014|"DOUBLE M FEED LLC"|"704 FAIRFIELD AVE"||GRETNA|LA|70056|123456|"CORY STRANDER"|5044331741|||"1544  FLORIDA AV "|||||||92
93|3|1544-GENTILLYBDP|37P115001P|2014|"FAIR ZONE FOOD STORE"|"1544 GENTILLY BLVD"||"NEW ORLEANS"|LA|70119|123456|||||"1544  GENTILLY BD "|||||||93
94|3|1540-STROCHAVP|38P104402P|2014|"ST ROCH BODY SHOP"|"1540 ST ROCH AVE"||"NEW ORLEANS"|LA|70117|123456|||||"1540  ST ROCH AV "|||||||94
95|3|1541-NBROADSTP|37P114614P|2014|BLOW|"1541 NORTH BROAD STREET"||"NEW ORLEANS"|LA|70119|123456|||||"1541 N BROAD ST "|||||||95
96|3|1537-NCLAIBORNEAVP|37P013074P|2014|"CLAIBORNE DISCOUNT DRUG STORE"|"1527 N CLAIBORNE AVENUE"||"NEW ORLEANS"|LA|70116|123456|"LISHUNDIA FRANKLIN"|5043428700|||"1537 N CLAIBORNE AV "|||||||96
97|3|1537-NBROADSTAP|37P114603P|2014|"DR PLUMMER| RODNEY K.- D.D.S."|"1537 N BROAD ST"||"NEW ORLEANS"|LA|70119|123456|||||"1537 N BROAD ST A"|||||||97
98|3|1535-GENTILLYBDP|37P205379P|2014|"HORSEMEN'S BOOKKEEPER"|"1535 GENTILLY BLVD"||"NEW ORLEANS"|LA|70119|123456|||||"1535  GENTILLY BD "|||||||98
99|3|1535-FRANKLINAVP|39P015906P|2014|"QUICKY'S DISCOUNT STORE"|"1535 FRANKLIN AV"||"NEW ORLEANS"|LA|70117|123456||5049421928|5049489476||"1535  FRANKLIN AV "|||||||99
100|3|12310-I10SERVICERDP|39P016655P|2014|"BIG EASY PALMS & LANDSCAPING"|"12310 I-10 SERVICE ROAD"||"NEW ORLEANS"|LA|70128|123456|||||"12310  I 10 SERVICE RD "|||||||100
101|3|1533-ESPLANADEAVP|37P105101P|2014|"SPUR DISCOUNT #3"|"C/O ALZAHRAA| INC."|"1533 ESPLANADE AVE"|"NEW ORLEANS"|LA|70116|123456|||||"1533  ESPLANADE AV "|||||||101
102|3|1531-ELYSIANFIELDSAVP|37P106109P|2014|"AUTOZONE STORES INC 3020"|"11000 RICHMOND AVE #350"||HOUSTON|TX|77042|123456|"DAVID ZAMORA"|7132298585|7132298383||"1531  ELYSIAN FIELDS AV "|||||||102
103|3|15302-CHEFMENTEURHWAP|39P016313P|2014|"J & C USED TIRES SHOP"|"15302 CHEF MENTEUR HW"|"SUITE A"|"NEW ORLEANS"|LA|70129|123456|||||"15302  CHEF MENTEUR HW A"|||||||103
104|3|1528-FRANKLINAVP|38P100353P|2014|"BEFORE AND AFTER"|"1528 FRANKLIN AV"||"NEW ORLEANS"|LA|70117|123456|||||"1528  FRANKLIN AV "|||||||104
105|3|1529-NCLAIBORNEAVP|37P013087P|2014|"TULANE GENERAL DENISTRY"|"1529 N CLAIBORNE AVENUE"||"NEW ORLEANS"|LA|70116|123456|"RYAN J. RILEY-504-289-4826"||||"1529 N CLAIBORNE AV "|||||||105
106|3|1530-NBROADSTP|37P013244P|2014|"PRIMARY EYE CARE"|"1530 N. BROAD ST"||"NEW ORLEANS"|LA|70119|123456|"JARRET JOHNSON"|5049430070|||"1530 N BROAD ST "|||||||106
107|3|1526-MANDEVILLESTP|38P104102P|2014|"NACO INDUSTRIES"|"c/o NATHANIEL BULLOCK"|"1526 MANDEVILLE STREET"|"NEW ORLEANS"|LA|70117|123456|||||"1526  MANDEVILLE ST "|||||||107
108|3|1525-ELYSIANFIELDSAVAP|38P104209P|2014|"MELBA'S COFFEE"|"1525 ELYSIAN FIELDS AVE"|"SUITE A"|"NEW ORLEANS"|LA|70117|123456|||||"1525  ELYSIAN FIELDS AV A"|||||||108
