"JUR","PARID","TAXYR","CATEGORY","PPTYPE","FILEYR","YRACQD","NOUNITS","ACQUISITION_COST","EFFECTIVE_LIFE","CONSIGNER_OWNER_NAME","CONSIGNER_MAILING_ADDR","CONSIGNER_RENTAL_AMT","ITEM_DESCRIPTION","CONSIGNER_TEL_NO"
"3","3018-ELYSIANFIELDSAVP","2025","10","157","2025","2007","1","33463","12","NULL","NULL","NULL","NULL","NULL"
"3","3018-ELYSIANFIELDSAVP","2025","13","0","2025","2006","1","9643","12","NULL","NULL","NULL","Computer","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2006","1","7420","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2006","1","2005","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2006","1","2005","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2007","1","1050","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2008","1","2545","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2008","1","1423","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2008","1","3075","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2011","1","8714","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2012","1","3750","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2012","1","74738","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2012","1","9732","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2012","1","27391","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2012","1","4125","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2013","1","3361","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2016","1","49106","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2016","1","6902","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2016","1","15104","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2016","1","4167","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2017","1","4951","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2017","1","11319","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2017","1","81163","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2017","1","3599","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2018","1","4215","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2018","1","6446","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2018","1","2511","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2018","1","2511","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2018","1","15680","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2021","1","12842","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2021","1","4873","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2022","1","2297","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2022","1","7020","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2022","1","2529","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","08","13","2025","2023","1","8055","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","10","263","2025","2005","1","2757","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","10","129","2025","2005","1","42741","10","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","10","128","2025","2006","1","43538","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","10","129","2025","2006","1","42637","10","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","10","129","2025","2008","1","46370","10","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","10","128","2025","2009","1","24904","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","10","128","2025","2011","1","30386","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","10","263","2025","2012","1","3270","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","10","129","2025","2015","1","60962","10","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","10","128","2025","2017","1","52708","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","10","263","2025","2018","1","15652","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","10","128","2025","2019","1","36207","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","10","128","2025","2020","1","33633","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","10","263","2025","2021","1","8974","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","10","263","2025","2021","1","5110","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","10","128","2025","2022","1","32652","12","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","10","129","2025","2022","1","68212","10","NULL","NULL","NULL","NULL","NULL"
"1","730-SSCOTTSTP","2025","13","0","2025","2017","1","31957","12","NULL","NULL","NULL","HR/PR Office Renovation","NULL"
"1","730-SSCOTTSTP","2025","13","0","2025","2021","1","39200","12","NULL","NULL","NULL","Exterior Lighting","NULL"
"1","730-SSCOTTSTP","2025","13","0","2025","2021","1","11957","12","NULL","NULL","NULL","7.5 Ton HVAC (Corp)","NULL"
"1","610-JULIASTP","2025","08","13","2025","1995","1","921","12","NULL","NULL","NULL","NULL","NULL"
"1","610-JULIASTP","2025","08","13","2025","1997","1","1727","12","NULL","NULL","NULL","NULL","NULL"
"1","610-JULIASTP","2025","08","13","2025","1999","1","1853","12","NULL","NULL","NULL","NULL","NULL"
"1","LEASEDEQUIPMENT1027P","2025","08","16","2025","2008","1","407","12","NULL","NULL","NULL","NULL","NULL"
"1","LEASEDEQUIPMENT1027P","2025","08","16","2025","2008","1","407","12","NULL","NULL","NULL","NULL","NULL"
"1","LEASEDEQUIPMENT1027P","2025","08","16","2025","2012","1","1345","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","1981","1","20699","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","1982","1","62487","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","1983","1","22650","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","1984","1","32808","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","1985","1","18872","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","1986","1","15382","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","1987","1","30433","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","1988","1","28143","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","1989","1","18538","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","1990","1","6972","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","1991","1","60703","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","1992","1","3175","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","1993","1","68974","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","1994","1","77988","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","1995","1","60442","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","1996","1","34005","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","1997","1","85873","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","1998","1","109518","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","1999","1","165135","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","2000","1","84091","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","2001","1","21012","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","2002","1","32290","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","2003","1","48578","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","2004","1","41226","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","2005","1","4710","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","2006","1","437762","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","2007","1","59630","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","2008","1","69710","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","2009","1","770","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","2010","1","46544","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","2011","1","13497","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","2013","1","115871","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","2014","1","187519","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","2015","1","79850","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","2016","1","146266","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","2017","1","4493","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","2019","1","10750","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","08","11","2025","2021","1","14615","12","NULL","NULL","NULL","NULL","NULL"
"1","722-CANALSTP","2025","13","0","2025","1983","1","1567","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","722-CANALSTP","2025","13","0","2025","1988","1","6482","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","722-CANALSTP","2025","13","0","2025","1990","1","7472","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","722-CANALSTP","2025","13","0","2025","1991","1","43052","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","722-CANALSTP","2025","13","0","2025","1992","1","118515","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","722-CANALSTP","2025","13","0","2025","1993","1","31824","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","722-CANALSTP","2025","13","0","2025","1994","1","7219","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","722-CANALSTP","2025","13","0","2025","1995","1","9381","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","722-CANALSTP","2025","13","0","2025","1996","1","24069","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","722-CANALSTP","2025","13","0","2025","1997","1","500","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","722-CANALSTP","2025","13","0","2025","1999","1","15157","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","722-CANALSTP","2025","13","0","2025","2002","1","10756","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","722-CANALSTP","2025","13","0","2025","2003","1","9975","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","722-CANALSTP","2025","13","0","2025","2004","1","57339","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","722-CANALSTP","2025","13","0","2025","2005","1","13936","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","722-CANALSTP","2025","13","0","2025","2011","1","28896","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","722-CANALSTP","2025","13","0","2025","2013","1","53594","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","722-CANALSTP","2025","13","0","2025","2016","1","193735","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","722-CANALSTP","2025","13","0","2025","2019","1","52050","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","722-CANALSTP","2025","13","0","2025","2021","1","35080","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","722-CANALSTP","2025","13","0","2025","2022","1","119003","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","1200-MAGAZINESTP","2025","08","14","2025","2019","1","2623","10","NULL","NULL","NULL","NULL","NULL"
"1","1200-MAGAZINESTP","2025","10","127","2025","2018","1","4003","20","NULL","NULL","NULL","NULL","NULL"
"1","1200-MAGAZINESTP","2025","10","127","2025","2020","1","18950","20","NULL","NULL","NULL","NULL","NULL"
"1","1200-MAGAZINESTP","2025","10","127","2025","2022","1","4502","20","NULL","NULL","NULL","NULL","NULL"
"1","1200-MAGAZINESTP","2025","13","0","2025","2018","1","17628","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","1200-MAGAZINESTP","2025","13","0","2025","2019","1","38991","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","1200-MAGAZINESTP","2025","13","0","2025","2020","1","97829","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"2","1128-NBROADSTP","2025","08","13","2025","2006","1","435","12","NULL","NULL","NULL","NULL","NULL"
"2","1128-NBROADSTP","2025","10","18","2025","1986","1","200","8","NULL","NULL","NULL","NULL","NULL"
"2","1128-NBROADSTP","2025","10","18","2025","1994","1","930","8","NULL","NULL","NULL","NULL","NULL"
"2","1128-NBROADSTP","2025","10","18","2025","2000","1","50","8","NULL","NULL","NULL","NULL","NULL"
"2","1128-NBROADSTP","2025","10","18","2025","2006","1","340","8","NULL","NULL","NULL","NULL","NULL"
"3","5609-READBDP","2025","08","15","2025","2022","1","4645","12","NULL","NULL","NULL","NULL","NULL"
"3","5609-READBDP","2025","10","93","2025","2022","1","11260","12","NULL","NULL","NULL","NULL","NULL"
"1","650-POYDRASST2800P","2025","08","13","2025","2013","1","451","12","NULL","NULL","NULL","NULL","NULL"
"1","650-POYDRASST2800P","2025","08","13","2025","2014","1","254","12","NULL","NULL","NULL","NULL","NULL"
"1","650-POYDRASST2800P","2025","08","13","2025","2015","1","501","12","NULL","NULL","NULL","NULL","NULL"
"1","650-POYDRASST2800P","2025","10","72","2025","2010","1","200","3","NULL","NULL","NULL","NULL","NULL"
"1","650-POYDRASST2800P","2025","10","72","2025","2014","1","3336","3","NULL","NULL","NULL","NULL","NULL"
"1","650-POYDRASST2800P","2025","10","72","2025","2019","1","8031","3","NULL","NULL","NULL","NULL","NULL"
"1","909-POYDRASST1100P","2025","08","13","2025","2020","1","42302","12","NULL","NULL","NULL","NULL","NULL"
"3","2525-BURGUNDYSTP","2025","08","13","2025","2012","1","37371","12","NULL","NULL","NULL","NULL","NULL"
"3","2525-BURGUNDYSTP","2025","08","13","2025","2013","1","6705","12","NULL","NULL","NULL","NULL","NULL"
"3","2525-BURGUNDYSTP","2025","99","0","2025","NULL","1","NULL","5","ARc Document Solutions","5701-5703 Quince Road, Memphis, TN 38119","149","1 HP Lasetjet E8765OZ","8008339032"
"3","2525-BURGUNDYSTP","2025","99","0","2025","NULL","1","NULL","2","General Informatics","P O Box 660831, Dallas, TX 75266-0831","1448","10 Lenovo Laptops","8883052641"
"3","2525-BURGUNDYSTP","2025","99","0","2025","NULL","1","NULL","2","General Informatics","P O Box 660831, Dallas, TX 75266-0831","136","1 Lenovo Laptop","8883052641"
"3","2525-BURGUNDYSTP","2025","99","0","2025","NULL","1","NULL","0","General Informatics","P O Box 660831, Dallas, TX 75266-0831","399","3 Lenovo Laptops","8883052641"
"3","2525-BURGUNDYSTP","2025","99","0","2025","NULL","1","NULL","0","General Informatics","P O Box 660831, Dallas TX 75266-0831","300","2 Lenovo Laptops","8883052641"
"2","315-DECATURST01P","2025","08","13","2025","2015","1","2851","12","NULL","NULL","NULL","NULL","NULL"
"2","315-DECATURST01P","2025","08","13","2025","2015","1","3825","12","NULL","NULL","NULL","NULL","NULL"
"2","315-DECATURST01P","2025","13","0","2025","2015","1","5512","12","NULL","NULL","NULL","Improvements","NULL"
"1","701-SPETERSST100P","2025","08","14","2025","2017","1","20000","10","NULL","NULL","NULL","NULL","NULL"
"1","701-SPETERSST100P","2025","10","228","2025","2017","1","30000","10","NULL","NULL","NULL","NULL","NULL"
"1","1004-CANALSTP","2025","08","15","2025","2006","1","21000","12","NULL","NULL","NULL","NULL","NULL"
"1","1004-CANALSTP","2025","10","104","2025","2006","1","69750","12","NULL","NULL","NULL","NULL","NULL"
"1","1004-CANALSTP","2025","10","104","2025","2017","1","4436","12","NULL","NULL","NULL","NULL","NULL"
"1","1004-CANALSTP","2025","10","104","2025","2023","1","15332","12","NULL","NULL","NULL","NULL","NULL"
"1","1004-CANALSTP","2025","13","0","2025","2005","1","1470","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","1004-CANALSTP","2025","13","0","2025","2006","1","2475","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"1","800-TCHOUPITOULASSTP","2025","08","14","2025","2006","1","4905","10","NULL","NULL","NULL","NULL","NULL"
"1","800-TCHOUPITOULASSTP","2025","08","14","2025","2023","1","98554","10","NULL","NULL","NULL","NULL","NULL"
"1","800-TCHOUPITOULASSTP","2025","10","228","2025","2000","1","263532","10","NULL","NULL","NULL","NULL","NULL"
"1","800-TCHOUPITOULASSTP","2025","10","228","2025","2007","1","5135","10","NULL","NULL","NULL","NULL","NULL"
"1","800-TCHOUPITOULASSTP","2025","10","228","2025","2012","1","7101","10","NULL","NULL","NULL","NULL","NULL"
"1","800-TCHOUPITOULASSTP","2025","10","228","2025","2022","1","26879","10","NULL","NULL","NULL","NULL","NULL"
"1","800-TCHOUPITOULASSTP","2025","10","228","2025","2023","1","505150","10","NULL","NULL","NULL","NULL","NULL"
"1","800-TCHOUPITOULASSTP","2025","13","0","2025","2002","1","30813","12","NULL","NULL","NULL","Warehouse Improvement","NULL"
"1","800-TCHOUPITOULASSTP","2025","13","0","2025","2003","1","2875","12","NULL","NULL","NULL","Breakout and Repave Entrance","NULL"
"1","800-TCHOUPITOULASSTP","2025","13","0","2025","2006","1","21190","12","NULL","NULL","NULL","Hurricane Protection","NULL"
"1","800-TCHOUPITOULASSTP","2025","13","0","2025","2007","1","2950","12","NULL","NULL","NULL","Hot Water Vents","NULL"
"1","800-TCHOUPITOULASSTP","2025","13","0","2025","2008","1","2350","12","NULL","NULL","NULL","Glass & Door Closer","NULL"
"1","800-TCHOUPITOULASSTP","2025","13","0","2025","2010","1","3602","12","NULL","NULL","NULL","Glass Front Door","NULL"
"1","800-TCHOUPITOULASSTP","2025","13","0","2025","2013","1","28900","12","NULL","NULL","NULL","Warehouse Brick Work/Sidewalk","NULL"
"1","800-TCHOUPITOULASSTP","2025","13","0","2025","2023","1","2186685","12","NULL","NULL","NULL","Renovations","NULL"
"1","800-TCHOUPITOULASSTP","2025","99","0","2025","NULL","1","NULL","9","US Bank Equipment Finance","PO Box 790448 St. Louis, MO 63179","275","Copier","8003285371"
"1","800-TCHOUPITOULASSTP","2025","99","0","2025","NULL","1","NULL","2","Auto-Chlor","PO Box 669126, Dallas, TX 75266","84","Dishwasher Machine","8002992166"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","1919","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","294","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","2185","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","8399","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","2231","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","933","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","350","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","4273","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","1911","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","767","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","343","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","980","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","791","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","855","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","921","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","674","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","163","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","4139","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","1321","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","948","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","1225","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","884","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2011","1","634","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2012","1","2165","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2012","1","2165","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2012","1","10603","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2012","1","11648","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2012","1","2865","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2013","1","2795","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2014","1","6481","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2015","1","6794","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2015","1","12328","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2015","1","6406","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2018","1","14192","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2018","1","920","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2019","1","5841","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2019","1","3440","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2020","1","2707","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2021","1","3800","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2021","1","14181","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2022","1","4199","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2022","1","15120","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2022","1","3730","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2015","1","838","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2012","1","1416","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2012","1","1024","10","NULL","NULL","NULL","NULL","NULL"
"1","322-MAGAZINESTP","2025","08","14","2025","2012","1","1024","10","NULL","NULL","NULL","NULL","NULL"
